% Model,Convex Reflector-Parametric Sweep.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 30 2015, 15:37"
% Table,Table 1 - Surface Maximum 1 (actd.p_t)
% Rbar,Dbar,Maximum: Total acoustic pressure field (Pa)
-0.05,0.5,28040.467598431565
-0.05,0.7,35898.25406619623
-0.05,0.9,76345.7332836291
-0.05,1.1,80538.95370371836
-0.05,1.3,76778.6972900313
-0.05,1.5,80799.51909211243
-0.22000000000000003,0.5,26130.91279363911
-0.22000000000000003,0.7,31233.782829559586
-0.22000000000000003,0.9,37512.05429136259
-0.22000000000000003,1.1,32707.971728967717
-0.22000000000000003,1.3,55665.46656220002
-0.22000000000000003,1.5,79811.99433002528
-0.39,0.5,19201.22597699956
-0.39,0.7,26810.918831894556
-0.39,0.9,26406.489775355236
-0.39,1.1,26278.06099971288
-0.39,1.3,28714.225565004304
-0.39,1.5,29330.4433625635
-0.56,0.5,19777.969122428036
-0.56,0.7,18369.80106793123
-0.56,0.9,26366.58674545329
-0.56,1.1,26337.864471152792
-0.56,1.3,18293.722151184338
-0.56,1.5,28422.912679671896
-0.7300000000000001,0.5,22404.849765538238
-0.7300000000000001,0.7,19383.056336363145
-0.7300000000000001,0.9,17984.929538981934
-0.7300000000000001,1.1,17978.132370098265
-0.7300000000000001,1.3,25132.022547452638
-0.7300000000000001,1.5,18206.38936567356
