 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,221.000,593.667
2,0,0,0,0,381.000,592.333
3,0,6,6,6,221.000,535.000
4,0,210,210,210,226.667,568.000
5,0,193,193,193,232.000,542.667
6,0,0,0,0,240.000,496.000
7,0,58,58,58,248.000,458.667
8,0,2,2,2,253.333,424.000
9,0,0,0,0,258.667,400.000
10,0,48,48,48,262.667,381.333
11,0,3,3,3,265.333,365.333
12,0,0,0,0,268.000,357.333
13,0,4,4,4,272.000,350.667
14,0,60,60,60,282.667,338.667
15,0,27,27,27,292.000,329.333
16,0,0,0,0,309.333,310.667
17,0,0,0,0,326.667,293.333
18,0,0,0,0,344.000,277.333
19,0,0,0,0,356.000,266.667
20,0,117,117,117,369.333,254.667
21,0,0,0,0,376.000,249.333
22,0,16,16,16,382.667,244.000
23,0,50,50,50,393.333,234.667
24,0,0,0,0,402.667,229.333
25,0,0,0,0,413.333,221.333
26,0,0,0,0,420.000,216.000
27,0,255,255,255,430.667,205.333
28,0,229,229,229,446.667,194.667
29,0,164,164,164,460.000,184.000
30,0,75,75,75,473.333,178.667
31,0,0,0,0,485.333,169.333
32,0,173,173,173,500.000,158.667
33,0,7,7,7,510.667,152.000
34,0,198,198,198,517.333,146.667
35,0,0,0,0,528.000,141.333
36,0,0,0,0,538.667,136.000
